Date,Close
3/3/2015 16:00:00,43.88
3/4/2015 16:00:00,43.64
3/5/2015 16:00:00,44.01
3/6/2015 16:00:00,44.78
3/9/2015 16:00:00,44.29
3/10/2015 16:00:00,42.99
3/11/2015 16:00:00,42.6
3/12/2015 16:00:00,43.37
3/13/2015 16:00:00,42.8
3/16/2015 16:00:00,43.88
3/17/2015 16:00:00,43.79
3/18/2015 16:00:00,44.65
3/19/2015 16:00:00,44.39
3/20/2015 16:00:00,44.99
3/23/2015 16:00:00,44.61
3/24/2015 16:00:00,45.08
3/25/2015 16:00:00,44.33
3/26/2015 16:00:00,44
3/27/2015 16:00:00,44.19
3/30/2015 16:00:00,45.07
3/31/2015 16:00:00,44.33
4/1/2015 16:00:00,44.8
4/2/2015 16:00:00,44.94
4/6/2015 16:00:00,46.1
4/7/2015 16:00:00,45.77
4/8/2015 16:00:00,45.85
4/9/2015 16:00:00,45.81
4/10/2015 16:00:00,46.12
4/13/2015 16:00:00,45.72
4/14/2015 16:00:00,45.61
4/15/2015 16:00:00,45.91
4/16/2015 16:00:00,46.11
4/17/2015 16:00:00,44.81
4/20/2015 16:00:00,45.45
4/21/2015 16:00:00,44.66
4/22/2015 16:00:00,44.71
4/23/2015 16:00:00,44.72
4/24/2015 16:00:00,44.21
4/27/2015 16:00:00,43.67
4/28/2015 16:00:00,44.36
4/29/2015 16:00:00,44.16
4/30/2015 16:00:00,43.98
5/1/2015 16:00:00,44.41
5/4/2015 16:00:00,44.6
5/5/2015 16:00:00,44.4
5/6/2015 16:00:00,44.61
5/7/2015 16:00:00,44.68
5/8/2015 16:00:00,45.19
5/11/2015 16:00:00,45.4
5/12/2015 16:00:00,45.52
5/13/2015 16:00:00,45.89
5/14/2015 16:00:00,46.86
5/15/2015 16:00:00,46.62
5/18/2015 16:00:00,46.66
5/19/2015 16:00:00,46.29
5/20/2015 16:00:00,46.47
5/21/2015 16:00:00,46.51
5/22/2015 16:00:00,46.35
5/26/2015 16:00:00,45.7
5/27/2015 16:00:00,45.94
5/28/2015 16:00:00,45.95
5/29/2015 16:00:00,45.22
6/1/2015 16:00:00,45.15
6/2/2015 16:00:00,45.15
6/3/2015 16:00:00,45.36
6/4/2015 16:00:00,44.53
6/5/2015 16:00:00,44.76
6/8/2015 16:00:00,44.74
6/9/2015 16:00:00,44.55
6/10/2015 16:00:00,46.06
6/11/2015 16:00:00,46.15
6/12/2015 16:00:00,45.96
6/15/2015 16:00:00,45.51
6/16/2015 16:00:00,45.91
6/17/2015 16:00:00,45.92
6/18/2015 16:00:00,46.47
6/19/2015 16:00:00,46.14
6/22/2015 16:00:00,46.27
6/23/2015 16:00:00,46.05
6/24/2015 16:00:00,45.92
6/25/2015 16:00:00,45.67
6/26/2015 16:00:00,45.63
6/29/2015 16:00:00,44.54
6/30/2015 16:00:00,44.63
7/1/2015 16:00:00,44.71
7/2/2015 16:00:00,44.49
7/6/2015 16:00:00,44.36
7/7/2015 16:00:00,44.21
7/8/2015 16:00:00,42.96
7/9/2015 16:00:00,43.69
7/10/2015 16:00:00,43.68
7/13/2015 16:00:00,44.25
7/14/2015 16:00:00,44.33
7/15/2015 16:00:00,43.49
7/16/2015 16:00:00,44.03
7/17/2015 16:00:00,43.81
7/20/2015 16:00:00,43.73
7/21/2015 16:00:00,43.06
7/22/2015 16:00:00,42.05
7/23/2015 16:00:00,41.69
7/24/2015 16:00:00,41.11
7/27/2015 16:00:00,40.53
7/28/2015 16:00:00,42.87
7/29/2015 16:00:00,44
7/30/2015 16:00:00,44.18
7/31/2015 16:00:00,43.7
8/3/2015 16:00:00,43.24
